frame,dt,speedKmh,throttleRaw,throttleSmoothed,vehicleSpeedFeedbackKmh,engineRpmFeedback,currentGear,targetGear,requestsShift,lastShiftDirection,timeSinceLastShiftS,kickdownActive,throttleDeltaHistory,engineRpm,upshiftSpeed,downshiftSpeed,twinState,clutchPressure
152,0.016000,23.433,1.0000,1.0000,23.433,1268.7,1,1,0,0,2.4320,1,0.0000,2884.3,70.000,0.000,3,1.0000
153,0.016000,23.554,1.0000,1.0000,23.554,1271.1,1,1,0,0,2.4480,1,0.0000,2899.3,70.000,0.000,3,1.0000
154,0.016000,23.676,1.0000,1.0000,23.676,1273.5,1,1,0,0,2.4640,1,0.0000,2914.3,70.000,0.000,3,1.0000
155,0.016000,23.798,1.0000,1.0000,23.798,1276.0,1,1,0,0,2.4800,1,0.0000,2929.2,70.000,0.000,3,1.0000
156,0.016000,23.919,1.0000,1.0000,23.919,1278.4,1,1,0,0,2.4960,1,0.0000,2944.2,70.000,0.000,3,1.0000
157,0.016000,24.041,1.0000,1.0000,24.041,1280.8,1,1,0,0,2.5120,1,0.0000,2959.1,70.000,0.000,3,1.0000
158,0.016000,24.162,1.0000,1.0000,24.162,1283.2,1,1,0,0,2.5280,1,0.0000,2974.1,70.000,0.000,3,1.0000
159,0.016000,24.283,1.0000,1.0000,24.283,1285.7,1,1,0,0,2.5440,1,0.0000,2989.0,70.000,0.000,3,1.0000
160,0.016000,24.405,1.0000,1.0000,24.405,1288.1,1,1,0,0,2.5600,1,0.0000,3004.0,70.000,0.000,3,1.0000
161,0.016000,24.526,1.0000,1.0000,24.526,1290.5,1,1,0,0,2.5760,1,0.0000,3018.9,70.000,0.000,3,1.0000
162,0.016000,24.648,1.0000,1.0000,24.648,1293.0,1,1,0,0,2.5920,1,0.0000,3033.9,70.000,0.000,3,1.0000
163,0.016000,24.769,1.0000,1.0000,24.769,1295.4,1,1,0,0,2.6080,1,0.0000,3048.8,70.000,0.000,3,1.0000
